icd10_pcs_5char,approach,nhsn_category,intraperitoneal_proxy,source,rationale
0QB60,0,,0,default_zero_unmatched,unmatched_default_0
0QB64,4,,0,default_zero_unmatched,unmatched_default_0
0QB70,0,,0,default_zero_unmatched,unmatched_default_0
0QB77,7,,0,default_zero_unmatched,unmatched_default_0
0QB7X,X,,0,default_zero_unmatched,unmatched_default_0
0QB90,0,,0,default_zero_unmatched,unmatched_default_0
0QBD0,0,,0,default_zero_unmatched,unmatched_default_0
0QBF0,0,,0,default_zero_unmatched,unmatched_default_0
0QBG0,0,,0,default_zero_unmatched,unmatched_default_0
0QBH0,0,,0,default_zero_unmatched,unmatched_default_0
0QBL0,0,,0,default_zero_unmatched,unmatched_default_0
0QBM0,0,,0,default_zero_unmatched,unmatched_default_0
0QD60,0,,0,default_zero_unmatched,unmatched_default_0
0QD70,0,,0,default_zero_unmatched,unmatched_default_0
0QG00,0,,0,default_zero_unmatched,unmatched_default_0
0QGG0,0,,0,default_zero_unmatched,unmatched_default_0
0QH20,0,,0,default_zero_unmatched,unmatched_default_0
0QH60,0,,0,default_zero_unmatched,unmatched_default_0
0QH63,3,,0,default_zero_unmatched,unmatched_default_0
0QH6X,X,,0,default_zero_unmatched,unmatched_default_0
0QH70,0,,0,default_zero_unmatched,unmatched_default_0
0QH73,3,,0,default_zero_unmatched,unmatched_default_0
0QH80,0,,0,default_zero_unmatched,unmatched_default_0
0QH83,3,,0,default_zero_unmatched,unmatched_default_0
0QH90,0,,0,default_zero_unmatched,unmatched_default_0
0QH93,3,,0,default_zero_unmatched,unmatched_default_0
0QHB0,0,,0,default_zero_unmatched,unmatched_default_0
0QHC0,0,,0,default_zero_unmatched,unmatched_default_0
0QHD0,0,,0,default_zero_unmatched,unmatched_default_0
0QHD3,3,,0,default_zero_unmatched,unmatched_default_0
0QHF0,0,,0,default_zero_unmatched,unmatched_default_0
0QHG0,0,,0,default_zero_unmatched,unmatched_default_0
0QHG3,3,,0,default_zero_unmatched,unmatched_default_0
0QHG4,4,,0,default_zero_unmatched,unmatched_default_0
0QHH0,0,,0,default_zero_unmatched,unmatched_default_0
0QHH3,3,,0,default_zero_unmatched,unmatched_default_0
0QHHX,X,,0,default_zero_unmatched,unmatched_default_0
0QHL0,0,,0,default_zero_unmatched,unmatched_default_0
0QHL3,3,,0,default_zero_unmatched,unmatched_default_0
0QHM0,0,,0,default_zero_unmatched,unmatched_default_0
0QHM3,3,,0,default_zero_unmatched,unmatched_default_0
0QHN0,0,,0,default_zero_unmatched,unmatched_default_0
0QHP0,0,,0,default_zero_unmatched,unmatched_default_0
0QHR0,0,,0,default_zero_unmatched,unmatched_default_0
0QHR3,3,,0,default_zero_unmatched,unmatched_default_0
0QJ70,0,,0,default_zero_unmatched,unmatched_default_0
0QJH4,4,,0,default_zero_unmatched,unmatched_default_0
0QN60,0,,0,default_zero_unmatched,unmatched_default_0
0QN70,0,,0,default_zero_unmatched,unmatched_default_0
0QNH0,0,,0,default_zero_unmatched,unmatched_default_0
0QP60,0,,0,default_zero_unmatched,unmatched_default_0
0QP70,0,,0,default_zero_unmatched,unmatched_default_0
0QP80,0,,0,default_zero_unmatched,unmatched_default_0
0QPD0,0,,0,default_zero_unmatched,unmatched_default_0
0QPF0,0,,0,default_zero_unmatched,unmatched_default_0
0QPG0,0,,0,default_zero_unmatched,unmatched_default_0
0QPH0,0,,0,default_zero_unmatched,unmatched_default_0
0QPL0,0,,0,default_zero_unmatched,unmatched_default_0
0QQ60,0,,0,default_zero_unmatched,unmatched_default_0
0QQ70,0,,0,default_zero_unmatched,unmatched_default_0
0QQG0,0,,0,default_zero_unmatched,unmatched_default_0
0QR70,0,,0,default_zero_unmatched,unmatched_default_0
0QRH0,0,,0,default_zero_unmatched,unmatched_default_0
0QS60,0,FX,0,cdc_nhsn_primary,FX + approach 0 -> 0
0QS63,3,,0,default_zero_unmatched,unmatched_default_0
0QS70,0,FX,0,cdc_nhsn_primary,FX + approach 0 -> 0
0QS73,3,,0,default_zero_unmatched,unmatched_default_0
0QSD0,0,,0,default_zero_unmatched,unmatched_default_0
0QSDX,X,,0,default_zero_unmatched,unmatched_default_0
